검수순번,wantedAuthNo,company,라벨,Gemini,GPT,확정,근거
7,KF11272607230002,하은재가복지센터,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
7,KF11272607230002,하은재가복지센터,임금_미확정,0,0,0,두 모델 일치
8,222179,(주)화영,임금구성_불명확,0,0,0,두 모델 일치
8,222179,(주)화영,실근로시간_미기재,1,0,0,본문 '주 5일(월~금) 08:00~18:30' 명시 -> 0
8,222179,(주)화영,수습조건_미기재,1,0,0,수습 언급 없음('계약직 3개월'은 수습 아님) -> 가이드 0
8,222179,(주)화영,숙식공제_불명확,0,0,0,두 모델 일치
8,222179,(주)화영,연장야간_조건미기재,0,0,0,두 모델 일치
8,222179,(주)화영,사회보험_미기재,1,1,1,두 모델 일치
8,222179,(주)화영,임금_미확정,1,1,1,두 모델 일치
9,KJBI002607290002,삼동재가노인지원서비스센터,임금구성_불명확,1,0,0,"가이드 0예시 동일: 시급13,200원(시급:10,320원+제수당 포함) — 기본시급 명시"
9,KJBI002607290002,삼동재가노인지원서비스센터,실근로시간_미기재,0,0,0,두 모델 일치
9,KJBI002607290002,삼동재가노인지원서비스센터,수습조건_미기재,0,0,0,두 모델 일치
9,KJBI002607290002,삼동재가노인지원서비스센터,숙식공제_불명확,0,0,0,두 모델 일치
9,KJBI002607290002,삼동재가노인지원서비스센터,연장야간_조건미기재,0,0,0,두 모델 일치
9,KJBI002607290002,삼동재가노인지원서비스센터,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
9,KJBI002607290002,삼동재가노인지원서비스센터,임금_미확정,0,0,0,두 모델 일치
10,K130042607200074,감승재가복지센터,임금구성_불명확,1,1,1,두 모델 일치
10,K130042607200074,감승재가복지센터,실근로시간_미기재,0,0,0,두 모델 일치
10,K130042607200074,감승재가복지센터,수습조건_미기재,0,0,0,두 모델 일치
10,K130042607200074,감승재가복지센터,숙식공제_불명확,0,0,0,두 모델 일치
10,K130042607200074,감승재가복지센터,연장야간_조건미기재,0,0,0,두 모델 일치
10,K130042607200074,감승재가복지센터,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
10,K130042607200074,감승재가복지센터,임금_미확정,0,0,0,두 모델 일치
11,K130232607220060,청춘학교주간보호센터,임금구성_불명확,0,0,0,두 모델 일치
11,K130232607220060,청춘학교주간보호센터,실근로시간_미기재,0,0,0,두 모델 일치
11,K130232607220060,청춘학교주간보호센터,수습조건_미기재,0,0,0,두 모델 일치
11,K130232607220060,청춘학교주간보호센터,숙식공제_불명확,0,0,0,두 모델 일치
11,K130232607220060,청춘학교주간보호센터,연장야간_조건미기재,0,0,0,두 모델 일치
11,K130232607220060,청춘학교주간보호센터,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
11,K130232607220060,청춘학교주간보호센터,임금_미확정,0,0,0,두 모델 일치
12,K130232607280085,주식회사크린텍,임금구성_불명확,0,0,0,두 모델 일치
12,K130232607280085,주식회사크린텍,실근로시간_미기재,0,0,0,두 모델 일치
12,K130232607280085,주식회사크린텍,수습조건_미기재,0,0,0,두 모델 일치
12,K130232607280085,주식회사크린텍,숙식공제_불명확,0,0,0,두 모델 일치
12,K130232607280085,주식회사크린텍,연장야간_조건미기재,1,1,1,두 모델 일치
12,K130232607280085,주식회사크린텍,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
12,K130232607280085,주식회사크린텍,임금_미확정,0,0,0,두 모델 일치
13,2607200003012,한국석유관리원,임금구성_불명확,?,0,?,사람결정⑥: 본문 1자 — 판정 불가
13,2607200003012,한국석유관리원,실근로시간_미기재,1,0,?,사람결정⑥: 본문 1자 — 판정 불가
13,2607200003012,한국석유관리원,수습조건_미기재,?,0,?,사람결정⑥: 본문 1자 — 판정 불가
13,2607200003012,한국석유관리원,숙식공제_불명확,0,0,?,사람결정⑥: 본문 1자 — 판정 불가
13,2607200003012,한국석유관리원,연장야간_조건미기재,0,0,?,사람결정⑥: 본문 1자 — 판정 불가
13,2607200003012,한국석유관리원,사회보험_미기재,1,0,?,사람결정⑥: 본문 1자 — 판정 불가
13,2607200003012,한국석유관리원,임금_미확정,1,0,?,사람결정⑥: 본문 1자 — 판정 불가
14,K130042607210038,한국건설안전기술(주),임금구성_불명확,0,0,0,두 모델 일치
14,K130042607210038,한국건설안전기술(주),실근로시간_미기재,0,0,0,두 모델 일치
14,K130042607210038,한국건설안전기술(주),수습조건_미기재,0,0,0,두 모델 일치
14,K130042607210038,한국건설안전기술(주),숙식공제_불명확,0,0,0,두 모델 일치
14,K130042607210038,한국건설안전기술(주),연장야간_조건미기재,0,0,0,두 모델 일치
14,K130042607210038,한국건설안전기술(주),사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
14,K130042607210038,한국건설안전기술(주),임금_미확정,0,1,1,가이드 1예시 동일: 급여조건 : 경력직 차등지급
15,K130232607240041,(주)동명오앤씨,임금구성_불명확,0,0,0,두 모델 일치
15,K130232607240041,(주)동명오앤씨,실근로시간_미기재,0,0,0,두 모델 일치
15,K130232607240041,(주)동명오앤씨,수습조건_미기재,1,1,1,두 모델 일치
15,K130232607240041,(주)동명오앤씨,숙식공제_불명확,0,0,0,두 모델 일치
15,K130232607240041,(주)동명오앤씨,연장야간_조건미기재,0,0,0,두 모델 일치
15,K130232607240041,(주)동명오앤씨,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
15,K130232607240041,(주)동명오앤씨,임금_미확정,0,0,0,두 모델 일치
16,KEC0052607270016,두루재가노인복지센터,임금구성_불명확,0,0,0,두 모델 일치
16,KEC0052607270016,두루재가노인복지센터,실근로시간_미기재,0,0,0,두 모델 일치
16,KEC0052607270016,두루재가노인복지센터,수습조건_미기재,0,0,0,두 모델 일치
16,KEC0052607270016,두루재가노인복지센터,숙식공제_불명확,0,0,0,두 모델 일치
16,KEC0052607270016,두루재가노인복지센터,연장야간_조건미기재,0,0,0,두 모델 일치
16,KEC0052607270016,두루재가노인복지센터,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
16,KEC0052607270016,두루재가노인복지센터,임금_미확정,0,0,0,두 모델 일치
17,K130112607150037,(주)장천,임금구성_불명확,0,0,0,두 모델 일치
17,K130112607150037,(주)장천,실근로시간_미기재,0,0,0,두 모델 일치
17,K130112607150037,(주)장천,수습조건_미기재,0,0,0,두 모델 일치
17,K130112607150037,(주)장천,숙식공제_불명확,0,0,0,두 모델 일치
17,K130112607150037,(주)장천,연장야간_조건미기재,0,0,0,두 모델 일치
17,K130112607150037,(주)장천,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
17,K130112607150037,(주)장천,임금_미확정,0,0,0,두 모델 일치
18,K130112607160003,주식회사 한길전자,임금구성_불명확,0,0,0,두 모델 일치
18,K130112607160003,주식회사 한길전자,실근로시간_미기재,0,0,0,두 모델 일치
18,K130112607160003,주식회사 한길전자,수습조건_미기재,0,0,0,두 모델 일치
18,K130112607160003,주식회사 한길전자,숙식공제_불명확,0,0,0,두 모델 일치
18,K130112607160003,주식회사 한길전자,연장야간_조건미기재,0,0,0,두 모델 일치
18,K130112607160003,주식회사 한길전자,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
18,K130112607160003,주식회사 한길전자,임금_미확정,0,0,0,두 모델 일치
19,KJ20282607280003,다사랑재가복지센터,임금구성_불명확,1,1,1,두 모델 일치
19,KJ20282607280003,다사랑재가복지센터,실근로시간_미기재,0,0,0,두 모델 일치
19,KJ20282607280003,다사랑재가복지센터,수습조건_미기재,0,0,0,두 모델 일치
19,KJ20282607280003,다사랑재가복지센터,숙식공제_불명확,0,0,0,두 모델 일치
19,KJ20282607280003,다사랑재가복지센터,연장야간_조건미기재,1,1,1,두 모델 일치
19,KJ20282607280003,다사랑재가복지센터,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
19,KJ20282607280003,다사랑재가복지센터,임금_미확정,0,0,0,두 모델 일치
20,K130052607280017,주식회사 장풍솔루션,임금구성_불명확,0,1,0,사람결정⑦: 식대 포함만 언급 -> 0
20,K130052607280017,주식회사 장풍솔루션,실근로시간_미기재,0,0,0,두 모델 일치
20,K130052607280017,주식회사 장풍솔루션,수습조건_미기재,0,0,0,두 모델 일치
20,K130052607280017,주식회사 장풍솔루션,숙식공제_불명확,0,0,0,두 모델 일치
20,K130052607280017,주식회사 장풍솔루션,연장야간_조건미기재,0,0,0,두 모델 일치
20,K130052607280017,주식회사 장풍솔루션,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
20,K130052607280017,주식회사 장풍솔루션,임금_미확정,0,0,0,두 모델 일치
21,K130232607150030,(주)동해공영,임금구성_불명확,0,0,0,두 모델 일치
21,K130232607150030,(주)동해공영,실근로시간_미기재,0,0,0,두 모델 일치
21,K130232607150030,(주)동해공영,수습조건_미기재,0,0,0,두 모델 일치
21,K130232607150030,(주)동해공영,숙식공제_불명확,0,0,0,두 모델 일치
21,K130232607150030,(주)동해공영,연장야간_조건미기재,0,0,0,두 모델 일치
21,K130232607150030,(주)동해공영,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
21,K130232607150030,(주)동해공영,임금_미확정,0,0,0,두 모델 일치
22,K130232607200108,삼원화학,임금구성_불명확,0,0,0,두 모델 일치
22,K130232607200108,삼원화학,실근로시간_미기재,0,0,0,두 모델 일치
22,K130232607200108,삼원화학,수습조건_미기재,0,0,0,두 모델 일치
22,K130232607200108,삼원화학,숙식공제_불명확,0,0,0,두 모델 일치
22,K130232607200108,삼원화학,연장야간_조건미기재,0,0,0,두 모델 일치
22,K130232607200108,삼원화학,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
22,K130232607200108,삼원화학,임금_미확정,0,0,0,두 모델 일치
23,K130042607160016,(주)수요양병원장례식장,임금구성_불명확,0,0,0,두 모델 일치
23,K130042607160016,(주)수요양병원장례식장,실근로시간_미기재,0,0,0,두 모델 일치
23,K130042607160016,(주)수요양병원장례식장,수습조건_미기재,0,0,0,두 모델 일치
23,K130042607160016,(주)수요양병원장례식장,숙식공제_불명확,0,0,0,두 모델 일치
23,K130042607160016,(주)수요양병원장례식장,연장야간_조건미기재,0,0,0,두 모델 일치
23,K130042607160016,(주)수요양병원장례식장,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
23,K130042607160016,(주)수요양병원장례식장,임금_미확정,0,0,0,두 모델 일치
24,K130112607280069,사회복지법인 나향 은솔어린이집,임금구성_불명확,0,0,0,두 모델 일치
24,K130112607280069,사회복지법인 나향 은솔어린이집,실근로시간_미기재,0,0,0,두 모델 일치
24,K130112607280069,사회복지법인 나향 은솔어린이집,수습조건_미기재,0,0,0,두 모델 일치
24,K130112607280069,사회복지법인 나향 은솔어린이집,숙식공제_불명확,0,0,0,두 모델 일치
24,K130112607280069,사회복지법인 나향 은솔어린이집,연장야간_조건미기재,0,0,0,두 모델 일치
24,K130112607280069,사회복지법인 나향 은솔어린이집,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
24,K130112607280069,사회복지법인 나향 은솔어린이집,임금_미확정,0,0,0,두 모델 일치
25,K130112607210078,(주)화전산업,임금구성_불명확,0,1,0,"사람결정⑦: '식대 포함' 금액, 상여금 별도 -> 0"
25,K130112607210078,(주)화전산업,실근로시간_미기재,0,0,0,두 모델 일치
25,K130112607210078,(주)화전산업,수습조건_미기재,1,1,1,두 모델 일치
25,K130112607210078,(주)화전산업,숙식공제_불명확,0,0,0,두 모델 일치
25,K130112607210078,(주)화전산업,연장야간_조건미기재,0,0,0,두 모델 일치
25,K130112607210078,(주)화전산업,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
25,K130112607210078,(주)화전산업,임금_미확정,0,1,1,면접후 급여조정 가능 -> 가이드 '면접 후 결정' 과 동일 취지
26,K130232607200020,사회복지법인 장선종합복지공동체(무지개언덕노인,임금구성_불명확,0,0,0,두 모델 일치
26,K130232607200020,사회복지법인 장선종합복지공동체(무지개언덕노인,실근로시간_미기재,0,0,0,두 모델 일치
26,K130232607200020,사회복지법인 장선종합복지공동체(무지개언덕노인,수습조건_미기재,0,0,0,두 모델 일치
26,K130232607200020,사회복지법인 장선종합복지공동체(무지개언덕노인,숙식공제_불명확,0,0,0,두 모델 일치
26,K130232607200020,사회복지법인 장선종합복지공동체(무지개언덕노인,연장야간_조건미기재,0,0,0,두 모델 일치
26,K130232607200020,사회복지법인 장선종합복지공동체(무지개언덕노인,사회보험_미기재,0,0,0,두 모델 일치
26,K130232607200020,사회복지법인 장선종합복지공동체(무지개언덕노인,임금_미확정,0,0,0,두 모델 일치
27,K130112607240059,정관로얄주간보호센터,임금구성_불명확,0,0,0,두 모델 일치
27,K130112607240059,정관로얄주간보호센터,실근로시간_미기재,0,0,0,두 모델 일치
27,K130112607240059,정관로얄주간보호센터,수습조건_미기재,0,0,0,두 모델 일치
27,K130112607240059,정관로얄주간보호센터,숙식공제_불명확,0,0,0,두 모델 일치
27,K130112607240059,정관로얄주간보호센터,연장야간_조건미기재,0,0,0,두 모델 일치
27,K130112607240059,정관로얄주간보호센터,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
27,K130112607240059,정관로얄주간보호센터,임금_미확정,0,0,0,두 모델 일치
28,K130052607240009,주식회사 동심컴퍼니,임금구성_불명확,0,0,0,두 모델 일치
28,K130052607240009,주식회사 동심컴퍼니,실근로시간_미기재,0,0,0,두 모델 일치
28,K130052607240009,주식회사 동심컴퍼니,수습조건_미기재,0,0,0,두 모델 일치
28,K130052607240009,주식회사 동심컴퍼니,숙식공제_불명확,0,0,0,두 모델 일치
28,K130052607240009,주식회사 동심컴퍼니,연장야간_조건미기재,0,0,0,두 모델 일치
28,K130052607240009,주식회사 동심컴퍼니,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
28,K130052607240009,주식회사 동심컴퍼니,임금_미확정,0,0,0,두 모델 일치
29,K130112607200033,온사랑 장애인 활동지원센터,임금구성_불명확,0,1,1,"시급 13,600원(법정수당 포함) — 기본시급 없음 -> 1"
29,K130112607200033,온사랑 장애인 활동지원센터,실근로시간_미기재,0,0,0,두 모델 일치
29,K130112607200033,온사랑 장애인 활동지원센터,수습조건_미기재,0,0,0,두 모델 일치
29,K130112607200033,온사랑 장애인 활동지원센터,숙식공제_불명확,0,0,0,두 모델 일치
29,K130112607200033,온사랑 장애인 활동지원센터,연장야간_조건미기재,0,0,0,두 모델 일치
29,K130112607200033,온사랑 장애인 활동지원센터,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
29,K130112607200033,온사랑 장애인 활동지원센터,임금_미확정,0,0,0,두 모델 일치
30,KJBM002607280008,수영구청,임금구성_불명확,0,0,0,두 모델 일치
30,KJBM002607280008,수영구청,실근로시간_미기재,0,0,0,두 모델 일치
30,KJBM002607280008,수영구청,수습조건_미기재,0,0,0,두 모델 일치
30,KJBM002607280008,수영구청,숙식공제_불명확,0,0,0,두 모델 일치
30,KJBM002607280008,수영구청,연장야간_조건미기재,0,1,1,사람결정③: 업무에 '주말 및 야간운영 보조' 포함 -> 1
30,KJBM002607280008,수영구청,사회보험_미기재,0,0,0,두 모델 일치
30,KJBM002607280008,수영구청,임금_미확정,0,0,0,두 모델 일치
31,KJBD002607210008,서일의료재단기장병원,임금구성_불명확,0,0,0,두 모델 일치
31,KJBD002607210008,서일의료재단기장병원,실근로시간_미기재,0,0,0,두 모델 일치
31,KJBD002607210008,서일의료재단기장병원,수습조건_미기재,0,0,0,두 모델 일치
31,KJBD002607210008,서일의료재단기장병원,숙식공제_불명확,0,0,0,두 모델 일치
31,KJBD002607210008,서일의료재단기장병원,연장야간_조건미기재,0,0,0,두 모델 일치
31,KJBD002607210008,서일의료재단기장병원,사회보험_미기재,0,0,0,두 모델 일치
31,KJBD002607210008,서일의료재단기장병원,임금_미확정,0,0,0,두 모델 일치
32,KJBD002607150010,주식회사 복산나이스,임금구성_불명확,0,0,0,두 모델 일치
32,KJBD002607150010,주식회사 복산나이스,실근로시간_미기재,0,0,0,두 모델 일치
32,KJBD002607150010,주식회사 복산나이스,수습조건_미기재,0,0,0,두 모델 일치
32,KJBD002607150010,주식회사 복산나이스,숙식공제_불명확,0,0,0,두 모델 일치
32,KJBD002607150010,주식회사 복산나이스,연장야간_조건미기재,1,0,1,사람결정④: '일요일 4~5시간 특근 가능자' 명시 -> 1
32,KJBD002607150010,주식회사 복산나이스,사회보험_미기재,0,0,0,두 모델 일치
32,KJBD002607150010,주식회사 복산나이스,임금_미확정,0,0,0,두 모델 일치
33,K130052607240007,(주)영화산업,임금구성_불명확,0,0,0,두 모델 일치
33,K130052607240007,(주)영화산업,실근로시간_미기재,0,0,0,두 모델 일치
33,K130052607240007,(주)영화산업,수습조건_미기재,0,0,0,두 모델 일치
33,K130052607240007,(주)영화산업,숙식공제_불명확,0,0,0,두 모델 일치
33,K130052607240007,(주)영화산업,연장야간_조건미기재,1,0,0,본문에 연장·야간 언급 없음 -> 가이드 0
33,K130052607240007,(주)영화산업,사회보험_미기재,0,0,0,두 모델 일치
33,K130052607240007,(주)영화산업,임금_미확정,0,0,0,두 모델 일치
34,K130042607230025,사회복지시설그리스도요양원,임금구성_불명확,0,0,0,두 모델 일치
34,K130042607230025,사회복지시설그리스도요양원,실근로시간_미기재,0,0,0,두 모델 일치
34,K130042607230025,사회복지시설그리스도요양원,수습조건_미기재,0,0,0,두 모델 일치
34,K130042607230025,사회복지시설그리스도요양원,숙식공제_불명확,0,0,0,두 모델 일치
34,K130042607230025,사회복지시설그리스도요양원,연장야간_조건미기재,0,0,0,두 모델 일치
34,K130042607230025,사회복지시설그리스도요양원,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
34,K130042607230025,사회복지시설그리스도요양원,임금_미확정,0,1,1,사람결정⑤: 금액 대신 지침 참조 -> 1
35,K130042607210030,씨이엠(CEM),임금구성_불명확,0,0,0,두 모델 일치
35,K130042607210030,씨이엠(CEM),실근로시간_미기재,0,0,0,두 모델 일치
35,K130042607210030,씨이엠(CEM),수습조건_미기재,0,0,0,두 모델 일치
35,K130042607210030,씨이엠(CEM),숙식공제_불명확,0,0,0,두 모델 일치
35,K130042607210030,씨이엠(CEM),연장야간_조건미기재,0,1,0,사람결정①: 회사 홍보 문구는 연장·야간 언급으로 보지 않음
35,K130042607210030,씨이엠(CEM),사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
35,K130042607210030,씨이엠(CEM),임금_미확정,0,0,0,두 모델 일치
36,KJBB002607150005,성모재가노인복지센터,임금구성_불명확,0,0,0,두 모델 일치
36,KJBB002607150005,성모재가노인복지센터,실근로시간_미기재,0,0,0,두 모델 일치
36,KJBB002607150005,성모재가노인복지센터,수습조건_미기재,0,0,0,두 모델 일치
36,KJBB002607150005,성모재가노인복지센터,숙식공제_불명확,0,0,0,두 모델 일치
36,KJBB002607150005,성모재가노인복지센터,연장야간_조건미기재,0,0,0,두 모델 일치
36,KJBB002607150005,성모재가노인복지센터,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
36,KJBB002607150005,성모재가노인복지센터,임금_미확정,0,1,1,사람결정⑤: '실제 서비스 제공기간에 따라 임금 계산' -> 1
37,KJBJ002607210006,대한여객자동차(주),임금구성_불명확,0,0,0,두 모델 일치
37,KJBJ002607210006,대한여객자동차(주),실근로시간_미기재,0,0,0,두 모델 일치
37,KJBJ002607210006,대한여객자동차(주),수습조건_미기재,0,0,0,두 모델 일치
37,KJBJ002607210006,대한여객자동차(주),숙식공제_불명확,0,0,0,두 모델 일치
37,KJBJ002607210006,대한여객자동차(주),연장야간_조건미기재,1,0,0,본문에 연장·야간 언급 없음 -> 가이드 0
37,KJBJ002607210006,대한여객자동차(주),사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
37,KJBJ002607210006,대한여객자동차(주),임금_미확정,0,1,1,사람결정⑤: 월급 280~350만원 범위 표기 -> 1
38,K130232607280074,주식회사 태경기계,임금구성_불명확,1,1,1,두 모델 일치
38,K130232607280074,주식회사 태경기계,실근로시간_미기재,0,0,0,두 모델 일치
38,K130232607280074,주식회사 태경기계,수습조건_미기재,0,0,0,두 모델 일치
38,K130232607280074,주식회사 태경기계,숙식공제_불명확,0,0,0,두 모델 일치
38,K130232607280074,주식회사 태경기계,연장야간_조건미기재,1,0,0,본문에 연장·야간 언급 없음 -> 가이드 0
38,K130232607280074,주식회사 태경기계,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
38,K130232607280074,주식회사 태경기계,임금_미확정,1,1,1,두 모델 일치
39,KJBM002607270001,수영구보건소,임금구성_불명확,0,0,0,두 모델 일치
39,KJBM002607270001,수영구보건소,실근로시간_미기재,0,0,0,두 모델 일치
39,KJBM002607270001,수영구보건소,수습조건_미기재,0,0,0,두 모델 일치
39,KJBM002607270001,수영구보건소,숙식공제_불명확,0,0,0,두 모델 일치
39,KJBM002607270001,수영구보건소,연장야간_조건미기재,0,1,0,사람결정②: '상황에 따라 변경 가능(휴일근무 등)' 은 0
39,KJBM002607270001,수영구보건소,사회보험_미기재,0,0,0,두 모델 일치
39,KJBM002607270001,수영구보건소,임금_미확정,0,0,0,두 모델 일치
40,K130042607270017,부산시니어재활주간보호센터,임금구성_불명확,0,0,0,두 모델 일치
40,K130042607270017,부산시니어재활주간보호센터,실근로시간_미기재,0,0,0,두 모델 일치
40,K130042607270017,부산시니어재활주간보호센터,수습조건_미기재,0,0,0,두 모델 일치
40,K130042607270017,부산시니어재활주간보호센터,숙식공제_불명확,0,0,0,두 모델 일치
40,K130042607270017,부산시니어재활주간보호센터,연장야간_조건미기재,0,0,0,두 모델 일치
40,K130042607270017,부산시니어재활주간보호센터,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
40,K130042607270017,부산시니어재활주간보호센터,임금_미확정,0,0,0,두 모델 일치
41,K130232607230002,（주）농심,임금구성_불명확,0,0,0,두 모델 일치
41,K130232607230002,（주）농심,실근로시간_미기재,0,0,0,두 모델 일치
41,K130232607230002,（주）농심,수습조건_미기재,0,0,0,두 모델 일치
41,K130232607230002,（주）농심,숙식공제_불명확,0,0,0,두 모델 일치
41,K130232607230002,（주）농심,연장야간_조건미기재,0,0,0,두 모델 일치
41,K130232607230002,（주）농심,사회보험_미기재,0,1,1,가이드: 4대보험 언급 없음 -> 1
41,K130232607230002,（주）농심,임금_미확정,0,0,0,두 모델 일치
42,K130112607220029,메드윌병원,임금구성_불명확,0,0,0,두 모델 일치
42,K130112607220029,메드윌병원,실근로시간_미기재,0,0,0,두 모델 일치
42,K130112607220029,메드윌병원,수습조건_미기재,0,0,0,두 모델 일치
42,K130112607220029,메드윌병원,숙식공제_불명확,0,0,0,두 모델 일치
42,K130112607220029,메드윌병원,연장야간_조건미기재,0,0,0,두 모델 일치
42,K130112607220029,메드윌병원,사회보험_미기재,0,1,0,가이드: 4대보험 언급 있음 -> 0
42,K130112607220029,메드윌병원,임금_미확정,1,1,1,두 모델 일치
43,KF10912607200008,로뎀복지센터,임금구성_불명확,1,0,0,"시급 13,000원(최저시급10,320원+수당포함) — 기본시급 명시 -> 0"
43,KF10912607200008,로뎀복지센터,실근로시간_미기재,0,0,0,두 모델 일치
43,KF10912607200008,로뎀복지센터,수습조건_미기재,0,0,0,두 모델 일치
