wantedAuthNo,lang,항목,한국어질문,모국어질문,확인이유,위험도,error
K130232607220060,zh,사회보험_미기재,이 채용은 4대보험 가입이 됩니까?,这个岗位可以加入四大保险(4대보험)吗？,招聘内容中没有写明是否提供社会保险，这会影响工伤、失业给付和实际到手工资。,높음,
K130232607280085,zh,연장야간_조건미기재,공고에 적힌 '잔업 9시간 기본'에 대해 연장근로수당이 지급됩니까?,招聘信息里写的“加班9小时为基本”，会支付加班费吗？,招聘信息写了有固定加班，但没有说明是否支付加班费。,높음,
K130232607280085,zh,사회보험_미기재,4대보험 가입이 됩니까?,会参加四大保险吗？,招聘信息里没有写是否提供社会保险，这会影响实际到手收入。,높음,
K130042607210038,zh,사회보험_미기재,사회보험은 가입됩니까?,是否参加社会保险？,招聘信息里没有写社会保险相关内容，所以需要先确认。,높음,
K130042607210038,zh,임금_미확정,급여조건에 적힌 '경력직 차등지급'의 구체적인 급여액은 얼마입니까?,招聘信息中写的“按经验差别 지급”的具体工资金额是多少？,招聘信息只写了“按经验差别 지급”，没有写明确的工资金额，所以需要先确认。,높음,
K130232607240041,zh,수습조건_미기재,3개월 수습기간 동안 임금이 감액되면 감액률은 몇 퍼센트입니까?,3个月试用期(수습기간)期间，如果工资会减少，减额比例是多少？,公告只写了有3个月试用期，但没有写试用期工资是否会减少以及减少多少。,높음,
K130232607240041,zh,사회보험_미기재,4대 보험이 적용됩니까?,适用四大保险吗？,公告里没有写是否提供社会保险，这会影响实际到手工资和就业条件。,높음,
KEC0052607270016,zh,사회보험_미기재,이 일자리는 사회보험 가입 대상입니까?,这份工作属于社会保险参保对象吗？,招聘内容里没有写是否提供社会保险，所以需要先确认。,높음,
K130112607150037,zh,사회보험_미기재,이 채용이 4대보험 가입 대상인지 알려주실 수 있습니까?,请问这个岗位是否属于四大保险(4대보험)参保对象？,招聘内容里没有写社会保险，入职前确认是否参保会更安心。,높음,
K130112607150037,zh,기타,공고의 '기타 본사에서 지시하는 관리업무'가 별도로 정해져 있는지 알려주실 수 있습니까?,请问招聘信息中的“其他由总部指示的管理业务”是否另有明确规定？,公告里写了“其他由总部指示的管理业务”，所以最好先确认这部分工作内容是否有明确范围。,보통,
K130112607160003,zh,사회보험_미기재,4대보험 가입이 되나요?,可以加入四大保险(4대보험)吗？,招聘信息里没有写是否提供社会保险，这会影响实际到手工资和保障。,높음,
KJ20282607280003,zh,임금구성_불명확,"포괄시급 13,000원에서 주휴수당과 연차수당 등 제수당을 빼면 시급은 얼마입니까?","13,000韩元的综合时薪中，扣除周休津贴(주휴수당)和年次津贴等已包含津贴(제수당 포함)后，时薪是多少？","公告只写了13,000韩元的综合时薪，并说明其中已包含多种津贴，所以需要先确认扣除这些项目后的实际时薪。",높음,
KJ20282607280003,zh,연장야간_조건미기재,추가시간이 있으면 그 시간의 임금은 별도로 지급됩니까?,如果有额外工作时间，该时间的工资会另行支付吗？,公告只写了可能有额外时间，但没有写这段时间的工资是否另外计算。,높음,
KJ20282607280003,zh,사회보험_미기재,사회보험은 가입됩니까?,会办理社会保险吗？,公告没有写是否办理社会保险，这会影响实际到手工资和保障。,높음,
KJ20282607280003,zh,기타,임금은 실제 서비스 제공 기간에 대해서만 계산하여 지급됩니까?,工资是否只按实际提供服务的期间来计算并支付？,公告写了按实际提供服务期间计算工资，但没有说明你实际会按什么 기준领工资。,높음,
KJ20282607280003,zh,기타,채용되면 제 주 소정근로시간은 몇 시간입니까?,如果录用，我每周的约定工作时间(소정근로시간)是多少小时？,公告写了每位劳动者的每周约定工作时间、工资或工作地点可能不同，所以需要先确认自己适用的每周工作时间。,높음,
K130052607280017,zh,임금구성_불명확,제시된 임금에 포함된 식대는 얼마입니까?,请问所提示工资中包含的餐费是多少？,招聘信息只写了工资中包含餐费，但没有写明餐费金额。,높음,
K130052607280017,zh,사회보험_미기재,사회보험 가입이 됩니까?,请问可以加入社会保险吗？,招聘信息中没有写明是否提供社会保险。,높음,
K130232607150030,zh,사회보험_미기재,4대보험에 가입됩니까?,是否提供四大保险(4대보험)？,招聘信息中没有写明是否提供社会保险，这会影响实际到手工资和保障。,높음,
K130232607200108,zh,사회보험_미기재,4대보험 가입이 됩니까?,可以加入四大保险(4대보험)吗？,招聘信息里没有写是否提供社会保险，这会影响实际到手工资和相关保障。,높음,
K130232607200108,zh,기타,업무 중 다루는 비닐원단의 무게는 얼마나 됩니까?,工作中要搬运的塑料原布大概有多重？,招聘信息只写了原布重量不轻，最好在应聘前确认实际重量。,보통,
K130042607160016,zh,사회보험_미기재,4대보험 가입이 됩니까?,请问可以加入四大保险(4대보험)吗？,招聘内容里没有写是否提供社会保险，所以需要先确认。,높음,
K130112607280069,zh,사회보험_미기재,이 채용은 4대보험 가입 대상입니까?,这个岗位是否加入四大保险(4대보험)？,公告中没有写明是否提供社会保险，这会影响实际到手工资和保障。,높음,
K130112607280069,zh,기타,제출한 서류는 반환되지 않습니까?,提交的材料不予退还吗？,公告写着提交的材料不退还，申请前最好先确认。,보통,
K130112607210078,zh,임금구성_불명확,'식대 포함' 금액에서 식대는 얼마입니까?,在“含餐补”金额里，餐费是多少？,因为招聘信息只写了“食宿补贴包含在内、奖金另算”，没有说明餐费具体是多少。,높음,
K130112607210078,zh,수습조건_미기재,"수습기간은 몇 개월이고, 수습기간 중 급여는 얼마입니까?",试用期(수습기간)是几个月，试用期间的工资是多少？,因为招聘信息只写了有试用期，没有说明试用期的时长和试用期间的工资。,높음,
K130112607210078,zh,사회보험_미기재,사회보험은 가입됩니까?,可以参加社会保险吗？,因为招聘信息正文没有提到是否提供社会保险。,높음,
K130112607210078,zh,임금_미확정,"공고에 면접 후 급여 조정 가능이라고 되어 있는데, 급여는 얼마입니까?",招聘信息写着工资可在面试后决定(면접 후 결정)，请问工资是多少？,因为招聘信息写了工资可在面试后调整，工资金额还没有确定。,높음,
K130112607240059,zh,사회보험_미기재,4대보험 가입이 됩니까?,请问这个岗位可以加入四大保险(4대보험)吗？,招聘内容没有写是否提供社会保险，是否加入会影响实际到手工资和保障。,높음,
K130052607240009,zh,사회보험_미기재,4대보험 가입이 됩니까?,请问可以参加四大保险(4대보험)吗？,招聘内容里没有写是否提供社会保险，这会影响实际到手工资和相关保障。,높음,
K130052607240009,zh,기타,1개월 후 주5일로 전환되는 것이 확정입니까?,请问1个月后转为每周5天工作是确定的吗？,招聘内容只写了“1个月后预计转为每周5天”，所以需要先确认这是不是已经确定的条件。,높음,
K130112607200033,zh,임금구성_불명확,"시급 13,600원에 포함된 제수당을 제외한 기본 시급은 얼마입니까?","时薪13,600韩元里已包含各项津贴(제수당 포함)的话，除这些津贴外的基本时薪是多少？","招聘信息只写了“时薪13,600韩元（含法定津贴）”，无法确认除津贴外的基本时薪。",높음,
K130112607200033,zh,사회보험_미기재,사회보험 가입이 됩니까?,会参加社会保险吗？,招聘信息只写了其他福利，没有写是否提供社会保险。,높음,
K130112607200033,zh,기타,월 48~60시간(가산시간 포함)에서 가산시간을 제외한 근로시간은 몇 시간입니까?,每月48~60小时（含加算时间）中，除加算时间外的工作时间是多少小时？,招聘信息只写了“每月48~60小时（含加算时间）”，无法确认除加算时间外的实际工作时数。,높음,
K130112607200033,zh,기타,근무 중에 강아지 1마리가 함께 있습니까?,工作时会有1只小狗在旁边吗？,招聘信息只写了“养1只小狗”，需要确认工作时小狗是否会在场。,보통,
KJBM002607280008,zh,연장야간_조건미기재,주말 및 야간운영 보조를 할 때 연장근로수당과 야간근로수당을 별도로 지급하십니까?,在周末及夜间运营辅助工作时，会另外支付延长劳动津贴和夜间劳动津贴吗？,周末和夜间工作是否有额外津贴，会直接影响实际拿到的工资。,높음,
KJBM002607280008,zh,기타,채용기간이 2026. 9. 1.부터 2026. 12. 31.까지입니까?,聘用期间是2026年9月1日至2026年12月31日吗？,公告写了聘用期间，申请前最好先确认合同结束日期。,보통,
KJBM002607280008,zh,기타,월요일부터 토요일 중 실제 근무일이 주5일입니까?,在周一到周六之间，实际工作日是每周5天吗？,公告写的是周一到周六、每周5天，申请前需要确认实际每周工作安排。,보통,
KJBM002607280008,zh,기타,09:00~19:00 시간범위 안에서 실제 출퇴근시간이 탄력적으로 정해집니까?,在09:00~19:00范围内，实际上下班时间会弹性安排吗？,公告只写了在09:00~19:00范围内弹性工作，申请前最好确认实际上下班时间是否固定。,보통,
K130042607230025,zh,사회보험_미기재,4대보험 가입이 됩니까?,这个岗位会加入四大保险(4대보험)吗？,招聘信息里没有写是否提供社会保险，参保与否会影响实际到手工资和基本保障。,높음,
K130042607230025,zh,임금_미확정,2026년 보건복지부 정신건강사업안내(p.168) 및 부산시 인건비 지침에 따른 월 급여는 얼마입니까?,按照“2026年保健福祉部精神健康事业指南(p.168)及釜山市人工费指针)”，月工资是多少？,招聘信息只写了按照指南和指针执行，但没有写出实际工资金额。,높음,
K130042607230025,zh,기타,시설 특성에 따라 변경 가능한 근무시간은 몇 시부터 몇 시까지입니까?,如果因设施特点而变更，工作时间会改成几点到几点？,招聘信息写了工作时间可能变更，但没有说明变更后具体是几点到几点。,보통,
K130042607210030,zh,연장야간_조건미기재,연장근로 또는 야간근로가 있습니까?,这份工作有延长工作或夜间工作吗？,招聘信息只提到“加班压力小”，但没有写明是否存在延长工作或夜间工作，所以需要先确认。,높음,
K130042607210030,zh,사회보험_미기재,4대보험 가입이 됩니까?,这份工作提供四大保险(4대보험)吗？,招聘信息里没有写社会保险相关内容，但这会直接影响实际到手工资和保障。,높음,
K130042607210030,zh,기타,"근무지가 부산, 울산, 포항 등 여러 지역입니까?",工作地点是在釜山、蔚山、浦项等多个地区吗？,招聘信息写了多个城市和医院类型，但没有明确工作地点是否分布在多个地区。,보통,
K130042607210030,zh,기타,업무상 운전이 필요합니까?,这份工作需要因工作而开车吗？,招聘信息只写了“可驾驶者”，但没有明确是否实际需要开车开展工作。,보통,
KJBB002607150005,zh,사회보험_미기재,사회보험 가입이 적용됩니까?,这份工作适用社会保险吗？,招聘内容里没有写是否适用社会保险，所以需要先确认。,보통,
KJBB002607150005,zh,임금_미확정,실제 서비스 제공기간에 따라 계산하여 지급되는 임금은 얼마입니까?,按实际提供服务期间计算并支付的工资是多少？,招聘内容只写了工资会按实际提供服务期间计算支付，但没有写具体金额。,높음,
KJBB002607150005,zh,기타,"채용 시 제 소정근로시간과 임금, 근무(예정)지가 공고 내용과 달라질 수 있습니까?",录用后，我的约定工作时间(소정근로시간)、工资和工作（予定）地点可能与招聘内容不同吗？,招聘内容写明每位劳动者的约定工作时间、工资和工作地点等可能不同，所以需要确认自己适用的条件。,높음,
KJBJ002607210006,zh,사회보험_미기재,4대보험에 가입됩니까?,会参加四大保险(4대보험)吗？,招聘信息里没有写是否加入，所以需要提前确认。,높음,
KJBJ002607210006,zh,임금_미확정,월급 280~350만원 중 입사 시 확정되는 월급은 얼마입니까?,在月工资280万~350万韩元之间，入职时确定的月工资是多少？,招聘信息只写了工资范围，入职时实际确定的金额不明确。,높음,
KJBJ002607210006,zh,기타,배차 시간에 따라 출근시간은 몇 시부터 몇 시까지 달라질 수 있습니까?,根据配车时间，上班时间会在几点到几点之间变动？,招聘信息只写了上班时间会随配车变动，但实际可能变动的时间范围不清楚。,보통,
KJBJ002607210006,zh,기타,1년 이후 상여금 50%는 기본급의 50%입니까?,工作满1年后的奖金50%是按基本工资(기본급)的50%计算吗？,招聘信息只写了满1年后奖金50%，但这50%按什么标准计算没有写清楚。,높음,
K130232607280074,zh,임금구성_불명확,수당이 포함된 금액에서 수당을 제외한 기본급은 얼마입니까?,包含津贴的金额中，扣除津贴后的基本工资(기본급)是多少？,公告只写了工资包含津贴，但没有写清扣除津贴后的工资构成。,높음,
K130232607280074,zh,사회보험_미기재,이 채용은 4대보험 가입 대상입니까?,这个岗位是四大保险(4대보험)加入对象吗？,公告里没有写是否加入社会保险，这会影响实际到手工资和保障。,높음,
K130232607280074,zh,임금_미확정,협의 가능한 임금은 얼마입니까?,可协商的工资是多少？,公告写了工资可以协商，所以需要先确认实际工资金额。,높음,
KJBM002607270001,zh,연장야간_조건미기재,휴일근무 등이 발생하면 연장·야간·휴일근로수당이 별도로 지급됩니까?,如果发生节假日工作等情况，会另外支付加班、夜间、节假日工作津贴吗？,公告写了工作时间可能因情况变化并包含节假日工作等，但没有写明是否另外支付相关津贴。,높음,
KJBM002607270001,zh,기타,채용기간이 예산범위에 따라 2026.9.1.~12.31.에서 변경될 수 있습니까?,这份固定期限合同(계약직)的聘用期间会因预算范围而在 2026.9.1.~12.31. 的基础上变更吗？,公告写了聘用期间为 2026.9.1.~12.31.，但也写了可能因预算范围而变动，所以需要先确认合同期限是否会变化。,보통,
K130042607270017,zh,사회보험_미기재,4대보험에 가입되나요?,请问可以加入四大保险(4대보험)吗？,招聘内容里没有写是否提供社会保险，这会影响实际到手工资和相关保障。,높음,
K130232607230002,zh,사회보험_미기재,4대 보험에 가입됩니까?,可以参加四大保险吗？,招聘信息里没有写明是否提供社会保险，这会影响实际到手工资和保障内容。,높음,
K130112607220029,zh,사회보험_미기재,4대보험에 가입됩니까?,请问是否提供四大保险(4대보험)？,招聘信息只写了福利项目，没有写是否加入四大保险，所以需要先确认。,높음,
K130112607220029,zh,임금_미확정,경력에 따라 산정되는 급여는 얼마입니까?,请问按经验确定的工资是多少？,招聘信息只写了“根据经验确定工资”，没有写具体金额，所以需要先确认。,높음,
KF10912607200008,zh,사회보험_미기재,이 일자리는 사회보험 가입 대상입니까?,这个岗位是社会保险参保对象吗？,招聘内容里没有写社会保险是否适用，所以需要先确认。,보통,
KF10912607200008,zh,임금_미확정,"채용 시 이 일자리의 시급은 제수당 포함 13,000원으로 확정됩니까?","录用时，这个岗位的时薪确定为含津贴(제수당 포함)13,000韩元吗？",招聘内容写着录用时每位劳动者的工资可能不同，所以需要确认这份工作的实际时薪。,높음,
KF10912607200008,zh,기타,임금은 실제 서비스 제공 기간만 기준으로 계산하여 지급합니까?,工资是只按实际提供服务的期间来计算并支付吗？,招聘内容说明工资会按实际服务提供期间计算支付，实际领取金额可能会变化。,높음,
K130232607280030,zh,사회보험_미기재,4대보험 가입이 되나요?,请问可以加入四大保险(4대보험)吗？,招聘信息里没有写是否提供社会保险，是否参保会直接影响工伤和失业保障，也会影响实发工资。,높음,
KF10922607280007,zh,사회보험_미기재,이 채용은 4대보험 가입 대상입니까?,这份工作需要参加四大保险(4대보험)吗？,招聘信息里没有写是否提供社保，需要先确认。,높음,
KF10092607220004,zh,사회보험_미기재,4대보험 가입이 됩니까?,请问可以加入四大保险(4대보험)吗？,招聘内容里没有写是否提供社会保险，实际到手工资和保障范围可能会不同。,높음,
K180512607200060,zh,수습조건_미기재,"수습기간은 몇 개월이며, 수습기간 중 임금이 감액되면 감액률은 몇 %입니까?",试用期(수습기간)是几个月，如果试用期(수습기간)工资会减少，减少比例是多少？,公告只写了完成教育门店课程后可缩短，所以需要确认试用期时长以及试用期间是否减薪。,높음,
K180512607200060,zh,사회보험_미기재,4대보험이 적용됩니까?,请问适用四大保险吗？,公告写了激励和福利，但没有写是否加入社会保险，所以需要先确认。,높음,
K180512607200060,zh,기타,휴무는 월 5회로 운영됩니까?,请问休息日是每月5次吗？,公告写了每月休息5次，最好在应聘前先确认实际休息次数。,보통,
K180512607200060,zh,기타,동계휴가는 연차 활용으로 운영됩니까?,请问冬季休假是用年假来安排吗？,公告写了冬季休假使用年假，因此需要确认这是否要用自己的年假来安排。,보통,
K180512607200060,zh,기타,교육 이수 후 입사 축하금 100만 원은 6개월 근속 시 지급됩니까?,请问完成培训后，入职祝贺金100万韩元是在工作满6个月时发放吗？,公告写了完成培训后可领取100万韩元入职祝贺金，但同时写了需工作满6个月，所以最好先确认发放条件。,높음,
K130232607280061,zh,사회보험_미기재,4대보험 가입이 됩니까?,请问提供四大保险(4대보험)吗？,招聘正文没有写是否提供社会保险，所以需要在应聘前确认。,높음,
K130232607280061,zh,기타,근무시간 변경이 있을 수 있습니까?,请问工作时间会变更吗？,招聘正文只写了“工作时间可能会变更”，但没有更具体的说明，所以需要先确认。,보통,
KJBD002607200006,zh,수습조건_미기재,수습기간 3개월 동안에도 월급은 세전 월 263만원입니까?,在3个月的试用期(수습기간)内，月工资也是税前(세전)263万韩元吗？,因为试用期工资是否按公告的税前263万韩元支付，会直接影响实际收入。,높음,
KJBD002607200006,zh,숙식공제_불명확,식비가 월급에서 공제됩니까?,餐费会从工资中扣除吗？,因为餐费是否从工资中扣除，会直接影响实际到手工资。,높음,
KJBD002607200006,zh,기타,수습기간 내 업무평가 기준을 취업규칙에서 확인할 수 있습니까?,试用期(수습기간)内的工作评估标准，能否在公司的就业规章中确认？,因为试用期内的评估和解雇条件会影响工作稳定性，需要提前确认。,보통,
KJBD002607200006,zh,기타,평일 30분 출근 시간 조정 시 출근 시간은 몇 시입니까?,平日上班时间调整30分钟时，出勤时间是几点？,因为平日实际上班时间会影响通勤安排和总工作时长，需要提前确认。,보통,
K130112607270063,zh,사회보험_미기재,이 일자리는 4대보험에 가입되는지 확인 부탁드립니다.,这份工作会加入四大保险(4대보험)吗？,招聘信息只写了法定津贴和其他福利支持，但没有明确说明是否提供四大保险，所以需要提前确认。,높음,
KF10912607270005,zh,사회보험_미기재,이 일자리는 사회보험 가입 대상입니까?,这个岗位属于社会保险参保对象吗？,招聘信息里没有写是否有社会保险，这会影响实际到手工资。,높음,
KJ20282607200009,zh,사회보험_미기재,이 채용은 4대보험 가입 대상입니까?,这个岗位提供四大保险(4대보험)吗？,招聘内容里没有写明是否加入社会保险，这会影响实际到手工资和保障。,높음,
2607250000249,zh,실근로시간_미기재,하루 소정근로시간은 몇 시간입니까?,每天的约定工作时间(소정근로시간)是几小时？,招聘内容里没有写工作时间，先确认后才能判断工资是否合适。,높음,
2607250000249,zh,사회보험_미기재,4대보험이 적용됩니까?,可以适用四大保险(4대보험)吗？,招聘内容里没有写是否有社会保险，这会影响实际到手工资和保障。,높음,
KJBB002607200001,zh,임금구성_불명확,"시급 14,000원에 포함된 제수당을 제외한 기본시급은 얼마입니까?","时薪14,000韩元中，扣除已含各项津贴(제수당 포함)后的基本时薪是多少？","公告只写了“时薪14,000韩元（含各项津贴）/有重症津贴”，没有写扣除津贴后的基本时薪。",높음,
KJBB002607200001,zh,사회보험_미기재,이 채용은 사회보험 가입 대상입니까?,这个岗位需要参加社会保险吗？,公告没有写是否适用社会保险，实际到手工资可能会因此不同。,높음,
KJBB002607200001,zh,기타,09:00~16:00 중 공단급여 외 시간의 임금은 보호자가 지급합니까?,09:00~16:00之间，公团给付以外时间的工资由监护人支付吗？,公告只写了“公团给付以外时间由监护人支付”，所以需要先确认这部分工资的支付主体。,높음,
KJBB002607200001,zh,기타,채용 시 제 소정근로시간은 몇 시간입니까?,录用后，我的约定工作时间(소정근로시간)是几小时？,公告写明每位劳动者的工作时间或工资等可能不同，所以需要先确认你自己的约定工作时间。,높음,
K130232607220028,zh,사회보험_미기재,입사하면 4대보험에 가입됩니까?,入职后会缴纳四大保险(4대보험)吗？,公告没有写明是否提供四大保险，这会影响工伤、失业给付和实际到手工资。,높음,
K130232607220028,zh,기타,현장 출장과 외근은 얼마나 자주 있습니까?,现场出差和外勤通常有多频繁？,公告只写了“现场出差、外勤很多”，但没有写具体频率，所以需要提前确认工作安排。,보통,
K130232607220028,zh,기타,가끔씩 있는 장거리 지방 출장은 얼마나 자주 있습니까?,偶尔会有的长距离外地出差通常有多频繁？,公告只写了“偶尔会有长距离外地出差”，但没有写具体频率，所以需要提前确认。,보통,
K130112607270017,zh,사회보험_미기재,사회보험 가입이 적용되는지 알려주실 수 있습니까?,请问适用社会保险吗？,招聘信息中没有写明是否适用社会保险，这会影响实际到手工资。,높음,
K130112607270017,zh,임금_미확정,"공고에 시급 13,200원 이상이라고 되어 있는데 실제 시급은 얼마입니까?","招聘信息写着时薪为13,200韩元以上，请问实际时薪是多少？","招聘信息只写了“13,200韩元以上”，没有写明最终确定的时薪金额。",높음,
K130232607240015,zh,사회보험_미기재,이 일자리는 4대보험에 가입됩니까?,这个岗位可以加入四大保险(4대보험)吗？,공告里没有写是否提供社会保险，这会影响每月实际到手工资和相关保障。,높음,
K130052607270007,zh,연장야간_조건미기재,근속 1년 경과 후 월 450만원 이상 수령이 가능한 기본 연장근무와 야간근무는 각각 월 몇 시간입니까?,工作满1年后，如果要拿到月450万韩元以上，基本加班和夜班分别每月是多少小时？,"공고에는 근속 1년 경과 및 기본 연장근무 수행 시 월 450만원 이상 가능하다고만 되어 있어, 실제 필요한 연장근무와 야간근무 시간을 확인해야 합니다.",높음,
K130052607270007,zh,사회보험_미기재,4대보험 가입이 됩니까?,是否缴纳四大保险(4대보험)？,공고에 사회보험 관련 내용이 없어 가입 여부를 미리 확인해야 합니다.,높음,
K130052607270007,zh,임금_미확정,급여는 연봉으로 얼마입니까?,工资按年薪计算是多少？,"공고에는 연봉 4,500만원 내외로 고려 중이라고만 되어 있어 확정된 금액을 확인해야 합니다.",높음,
KJBQ002607200025,zh,사회보험_미기재,4대보험 가입 여부를 확인해 주실 수 있습니까?,请问是否提供四大保险(4대보험)？,招聘信息里只写了工资和餐食提供，但没有写是否参加社会保险，这会直接影响实际到手收入和保障。,높음,
KJBQ002607200025,zh,기타,토요일·일요일 격주근무는 한 달에 몇 번 근무합니까?,请问周六、周日隔周工作一个月需要上几次班？,招聘信息写了周六、周日为隔周工作，但没有明确一个月实际需要工作几次。,보통,
KJBQ002607200025,zh,기타,당직 순환 근무는 한 달에 몇 번입니까?,请问值班轮换工作一个月有几次？,招聘信息写了值班轮换工作时间，但没有明确一个月轮到几次。,보통,
KEC0052607230009,zh,사회보험_미기재,4대보험 가입이 됩니까?,请问提供4大保险(4대보험)吗？,招聘内容里没有写是否提供社会保险，这会影响每月实际到手金额和相关保障。,높음,
KEC0052607230009,zh,임금_미확정,"월급여는 경력에 따라 협의한다고 되어 있는데, 최종 월급여는 얼마입니까?",请问按经验协商后的最终月工资是多少？,招聘内容只写了“月工资280万韩元（按经验协商）”，所以入职后的实际工资金额还不能确定。,높음,
KJBD002607160001,zh,사회보험_미기재,이 채용은 4대보험 가입이 됩니까?,这个岗位可以加入四大保险(4대보험)吗？,招聘内容里没有写是否提供社会保险，这会影响实际到手工资和保障。,높음,
KJBD002607160001,zh,기타,3개월 계약 종료 후 재연장이 확정되어 있습니까?,3个月合同结束后，续签已经确定了吗？,招聘内容只写了“3개월 계약 (계약후 재연장 검토)”，所以续签是否确定需要先确认。,보통,
K130112607230002,zh,사회보험_미기재,이 채용은 4대보험 가입이 됩니까?,这个岗位提供四大保险(4대보험)吗？,공고에 사회보험 관련 안내가 없어 가입 여부를 미리 확인할 필요가 있습니다.,높음,
K130112607230002,zh,임금_미확정,보건복지부 사회복지시설 종사자 인건비 가이드라인 준용(4호봉 이하) 기준으로 월 기본급은 얼마입니까?,按照“保健福祉部社会福利设施从业人员人工费指南准用（4号俸以下）”标准，月基本工资(기본급)是多少？,공고에는 가이드라인 준용이라고만 되어 있어 실제 급여 금액을 확인해야 합니다.,높음,
K130112607230002,zh,기타,응시자 중 적격자가 없거나 운영 상의 사유가 있는 경우 채용하지 않을 수 있습니까?,如果应聘者中没有合适人选，或者因运营上的原因，是否可能不进行录用？,공고에 채용하지 않을 수 있다고 되어 있어 채용 진행 가능성을 확인할 필요가 있습니다.,보통,
K130112607230002,zh,기타,제출한 접수서류는 반환되지 않습니까?,提交的申请材料不予退还吗？,제출서류 반환 여부가 지원 준비에 영향을 줄 수 있어 미리 확인하는 것이 좋습니다.,보통,
K130232607160024,zh,연장야간_조건미기재,야간(고정) 근무에 대한 야간수당은 별도로 지급됩니까?,固定夜班会另外支付夜班津贴吗？,招聘信息只写了有固定夜班，但没有写夜班津贴条件。,높음,
K130232607160024,zh,사회보험_미기재,단체보험과 별도로 4대보험 가입이 됩니까?,除了团体保险以外，还会加入四大保险(4대보험)吗？,招聘信息只写了团体保险由公司全额负担，没有写是否加入4大保险。,높음,
